1,"hydrogen","H",1.008
2,"helium","He",4.002602
3,"lithium","Li",6.94
4,"beryllium","Be",9.0121831
5,"boron","B",10.81
6,"carbon","C",12.011
7,"nitrogen","N",14.007
8,"oxygen","O",15.999
9,"fluorine","F",18.998403163
10,"neon","Ne",20.1797
11,"sodium","Na",22.98976928
12,"magnesium","Mg",24.305
13,"aluminum","Al",26.9815385
14,"silicon","Si",28.085
15,"phosphorus","P",30.973761998
16,"sulfur","S",32.06
17,"chlorine","Cl",35.45
18,"argon","Ar",39.948
19,"potassium","K",39.0983
20,"calcium","Ca",40.078
21,"scandium","Sc",44.955908
22,"titanium","Ti",47.867
23,"vanadium","V",50.9415
24,"chromium","Cr",51.9961
25,"manganese","Mn",54.938044
26,"iron","Fe",55.845
27,"cobalt","Co",58.933194
28,"nickel","Ni",58.6934
29,"copper","Cu",63.546
30,"zinc","Zn",65.38
31,"gallium","Ga",69.723
32,"germanium","Ge",72.63
33,"arsenic","As",74.921595
34,"selenium","Se",78.971
35,"bromine","Br",79.904
36,"krypton","Kr",83.798
37,"rubidium","Rb",85.4678
38,"strontium","Sr",87.62
39,"yttrium","Y",88.90584
40,"zirconium","Zr",91.224
41,"niobium","Nb",92.90637
42,"molybdenum","Mo",95.95
43,"technetium","Tc",97
44,"ruthenium","Ru",101.07
45,"rhodium","Rh",102.9055
46,"palladium","Pd",106.42
47,"silver","Ag",107.8682
48,"cadmium","Cd",112.414
49,"indium","In",114.818
50,"tin","Sn",118.71
51,"antimony","Sb",121.76
52,"tellurium","Te",127.6
53,"iodine","I",126.90447
54,"xenon","Xe",131.293
55,"cesium","Cs",132.90545196
56,"barium","Ba",137.327
57,"lanthanum","La",138.90547
58,"cerium","Ce",140.116
59,"praseodymium","Pr",140.90766
60,"neodymium","Nd",144.242
61,"promethium","Pm",145
62,"samarium","Sm",150.36
63,"europium","Eu",151.964
64,"gadolinium","Gd",157.25
65,"terbium","Tb",158.92535
66,"dysprosium","Dy",162.5
67,"holmium","Ho",164.93033
68,"erbium","Er",167.259
69,"thulium","Tm",168.93422
70,"ytterbium","Yb",173.045
71,"lutetium","Lu",174.9668
72,"hafnium","Hf",178.49
73,"tantalum","Ta",180.94788
74,"tungsten","W",183.84
75,"rhenium","Re",186.207
76,"osmium","Os",190.23
77,"iridium","Ir",192.217
78,"platinum","Pt",195.084
79,"gold","Au",196.966569
80,"mercury","Hg",200.592
81,"thallium","Tl",204.38
82,"lead","Pb",207.2
83,"bismuth","Bi",208.9804
84,"polonium","Po",209
85,"astatine","At",210
86,"radon","Rn",222
87,"francium","Fr",223
88,"radium","Ra",226
89,"actinium","Ac",227
90,"thorium","Th",232.0377
91,"protactinium","Pa",231.03588
92,"uranium","U",238.02891
93,"neptunium","Np",237
94,"plutonium","Pu",244
95,"americium","Am",243
96,"curium","Cm",247
97,"berkelium","Bk",247
98,"californium","Cf",251
99,"einsteinium","Es",252
100,"fermium","Fm",257
101,"mendelevium","Md",258
102,"nobelium","No",259
103,"lawrencium","Lr",262
104,"rutherfordium","Rf",267
105,"dubnium","Db",270
106,"seaborgium","Sg",269
107,"bohrium","Bh",270
108,"hassium","Hs",270
109,"meitnerium","Mt",278
110,"darmstadtium","Ds",281
111,"roentgenium","Rg",281
112,"copernicium","Cn",285
113,"nihonium","Nh",286
114,"flerovium","Fl",289
115,"moscovium","Mc",289
116,"livermorium","Lv",293
117,"tennessine","Ts",293
118,"oganesson","Og",294
